time,latitude,longitude,temperature,pressure,humidity
2024-05-25T15:57:02,22.3788,114.19322,23.05,100934.61,70.05
2024-05-25T15:58:02,22.378769,114.193238,23.02,100935.08,72.29
2024-05-25T15:59:02,22.378514,114.192996,23.6,101018.72,79.41
2024-05-25T16:00:02,22.378204,114.192687,24.59,101018.91,84.15
2024-05-25T16:01:02,22.378192,114.191915,25.54,101017.95,84.19
2024-05-25T16:02:02,22.377776,114.191507,26.11,101016.83,83.18
2024-05-25T16:03:02,22.377945,114.191129,26.59,101040.53,82.72
2024-05-25T16:04:02,22.377848,114.190846,26.85,101047.06,81.88
2024-05-25T16:05:02,22.377634,114.190533,27.03,101049.94,81.81
2024-05-25T16:06:02,22.377417,114.190123,27.13,101045.97,81.69
2024-05-25T16:07:02,22.377252,114.189699,27.26,101029.7,81.28
2024-05-25T16:08:02,22.37708,114.189308,27.36,101025.24,81.14
2024-05-25T16:09:02,22.376908,114.189328,27.29,101022.95,80.81
2024-05-25T16:10:02,22.376908,114.189328,27.27,101020.31,81.39
2024-05-25T16:11:02,22.376908,114.189328,27.38,101016.67,81.21
2024-05-25T16:12:02,22.376908,114.189328,27.5,101016.02,80.85
2024-05-25T16:13:03,22.376921,114.188968,27.59,101015.79,80.91
2024-05-25T16:14:03,22.376749,114.188454,27.62,101013.78,80.44
2024-05-25T16:15:03,22.376462,114.187709,27.68,101016.91,80.34
2024-05-25T16:16:03,22.375997,114.187686,27.52,101021.96,80.24
2024-05-25T16:17:03,22.375553,114.188133,27.36,101023.84,80.59
2024-05-25T16:18:03,22.375047,114.188494,27.22,101045.16,81.08
2024-05-25T16:19:03,22.375047,114.188494,27.2,101055.68,81.41
2024-05-25T16:20:03,22.375318,114.188912,27.16,101058.98,81.36
2024-05-25T16:21:03,22.375663,114.189375,27.13,101056.39,82.02
2024-05-25T16:22:03,22.375992,114.189742,27.34,101010.02,81.85
2024-05-25T16:23:03,22.376279,114.190041,27.64,101007.86,81.01
2024-05-25T16:24:03,22.376524,114.190267,27.72,101011.44,80.9
2024-05-25T16:25:03,22.376858,114.190589,27.8,101012.66,80.55
2024-05-25T16:26:03,22.377198,114.190911,27.75,101001.53,80.38
2024-05-25T16:27:03,22.377532,114.191233,27.67,100994.53,80.17
2024-05-25T16:28:03,22.377924,114.191628,27.57,100999.78,80.4
2024-05-25T16:29:03,22.378112,114.191989,27.58,101003.88,80.82
2024-05-25T16:30:04,22.377835,114.192447,27.53,101003.7,80.55
2024-05-25T16:31:04,22.37831,114.192848,27.5,101002.43,80.37
2024-05-25T16:32:04,22.3788743,114.193254,27.29,100949.11,77.5
2024-05-25T16:33:04,22.3788,114.19322,26.8,100916.52,72.66